,nCIR,ZM1,GNar,S1K,piPC08,MATS1v,MATS7v,GATS1v,EEig05x,ESpm02x,ESpm03d,ESpm10d,ESpm13d,BELv3,RDF035v,G1m,G1v,G1e,G3s,R8u.,nRCOSR
180,0,0.03,0.06,0.03,0,0.44,0.28,0.33,0.16,0.26,0.62,0.57,0.71,0.22,0.03,0.11,1,1,1,0,0
240,0.14,0.13,0.72,0.08,0,0.5,0.28,0.25,0.33,0.55,0.55,0.44,0.62,0.52,0.09,0.08,0.08,0.07,1,0,0
261,0,0.04,0.28,0.07,0,0.47,0.28,0.31,0.16,0.28,0.54,0.43,0.61,0.4,0.03,0.09,0.08,0.08,0.61,0,0
326,0.14,0.2,0.63,0.17,0,0.5,0.04,0.25,0.65,0.63,0.64,0.5,0.65,0.62,0.27,0.11,0.04,0.04,1,0.55,0
454,0,0.11,0.49,0.2,0.15,0.49,0.17,0.28,0.35,0.45,0.54,0.43,0.61,0.72,0.03,0.05,0.04,0.04,0.53,0.42,0
650,0,0.07,0.2,0.09,0,0.45,0.28,0.38,0.06,0.43,0.72,0.64,0.76,0.38,0.04,0.09,1,1,1,0,0
957,0,0.11,0.49,0.21,0.09,0.49,0.17,0.28,0.31,0.41,0.24,0.14,0.34,0.74,0.02,0.04,0.04,0.04,0.21,0.38,0
1031,0,0.02,0.17,0.04,0,0.44,0.28,0.33,0.16,0.13,0.24,0,0.31,0.32,0.02,0.17,0.2,0.09,0.21,0,0
1068,0,0,0,0.02,0,0,0.28,0.75,0.16,0,0.7,0.67,0.78,0,0,1,1,1,1,0,0
1140,0.14,0.11,0.71,0.06,0,1,0.28,0,0.28,0.5,0.4,0.33,0.53,0.52,0.07,0.08,0.07,0.07,1,0,0
2758,0.43,0.26,0.74,0.16,0.22,0.46,0.28,0.46,0.37,0.64,0.71,0.65,0.76,0.7,0.51,0.09,0.09,0.11,1,0,0
3314,0.14,0.22,0.65,0.21,0.53,0.45,0.18,0.41,0.55,0.64,0.63,0.5,0.65,0.72,0.16,0.08,0.04,0.04,0.07,0.52,0
4133,0.14,0.2,0.63,0.17,0.49,0.44,0.28,0.42,0.49,0.63,0.68,0.61,0.74,0.58,0.1,0.06,0.06,0.09,0.08,0.53,0
